Date,Experiment,Proposed Regime,Regime Description,Proposed Strategy,Implemented Regime,Implemented Strategy,Proposed Turnover,Actual Turnover,Transaction Cost,Executed Rebalance,Skipped Due To Threshold
2008-05-12,Monthly Base,,,,3,Equal Weight,0.0,0.0,0.0,False,False
2008-05-13,Monthly Base,,,,3,Equal Weight,0.0,0.0,0.0,False,False
2008-05-14,Monthly Base,,,,3,Equal Weight,0.0,0.0,0.0,False,False
2008-05-15,Monthly Base,,,,3,Equal Weight,0.0,0.0,0.0,False,False
2008-05-16,Monthly Base,,,,3,Equal Weight,0.0,0.0,0.0,False,False
2008-05-19,Monthly Base,,,,3,Equal Weight,0.0,0.0,0.0,False,False
2008-05-20,Monthly Base,,,,3,Equal Weight,0.0,0.0,0.0,False,False
2008-05-21,Monthly Base,,,,3,Equal Weight,0.0,0.0,0.0,False,False
2008-05-22,Monthly Base,,,,3,Equal Weight,0.0,0.0,0.0,False,False
2008-05-23,Monthly Base,,,,3,Equal Weight,0.0,0.0,0.0,False,False
